iter	Passed	Remaining
0	149	149536
1	156	78155
2	162	54109
3	165	41243
4	168	33523
5	174	28838
6	177	25138
7	180	22338
8	182	20135
9	187	18610
10	191	17234
11	194	16046
12	197	14996
13	202	14259
14	205	13482
15	209	12881
16	212	12279
17	218	11939
18	223	11552
19	226	11107
20	231	10771
21	236	10496
22	238	10148
23	241	9830
24	246	9603
25	249	9342
26	251	9069
27	253	8803
28	255	8542
29	256	8296
30	258	8072
31	263	7957
32	264	7749
33	265	7548
34	267	7361
35	268	7183
36	269	7012
37	270	6849
38	271	6694
39	277	6654
40	278	6525
41	280	6394
42	281	6267
43	282	6143
44	283	6024
45	284	5908
46	285	5798
47	287	5709
48	291	5654
49	293	5569
50	295	5493
51	296	5403
52	297	5316
53	298	5234
54	300	5162
55	304	5139
56	306	5067
57	307	4992
58	308	4920
59	309	4853
60	310	4785
61	312	4720
62	313	4658
63	315	4608
64	318	4581
65	320	4528
66	321	4472
67	322	4417
68	323	4364
69	324	4311
70	325	4259
71	326	4210
72	327	4162
73	329	4123
74	333	4107
75	334	4067
76	335	4024
77	336	3982
78	338	3941
79	339	3900
80	340	3860
81	341	3822
82	342	3783
83	343	3747
84	347	3737
85	348	3708
86	350	3675
87	351	3640
88	352	3607
89	353	3570
90	354	3538
91	355	3512
92	356	3478
93	357	3444
94	358	3416
95	362	3413
96	364	3389
97	365	3360
98	366	3333
99	367	3305
100	368	3281
101	369	3257
102	371	3231
103	372	3206
104	373	3187
105	376	3176
106	377	3154
107	378	3130
108	380	3107
109	381	3083
110	382	3063
111	383	3043
112	384	3021
113	386	3000
114	388	2991
115	391	2981
116	392	2962
117	393	2942
118	394	2922
119	395	2902
120	397	2884
121	398	2867
122	398	2844
123	400	2826
124	401	2808
125	403	2798
126	405	2788
127	406	2772
128	408	2755
129	409	2739
130	411	2730
131	414	2725
132	419	2734
133	421	2721
134	422	2705
135	423	2690
136	424	2674
137	425	2659
138	427	2644
139	428	2629
140	429	2614
141	430	2600
142	434	2606
143	436	2593
144	437	2579
145	438	2565
146	439	2552
147	441	2539
148	442	2525
149	443	2512
150	444	2498
151	445	2483
152	448	2483
153	449	2471
154	451	2459
155	452	2446
156	453	2434
157	454	2422
158	455	2409
159	456	2397
160	457	2385
161	458	2374
162	462	2376
163	464	2366
164	467	2363
165	469	2357
166	469	2344
167	471	2333
168	472	2322
169	473	2311
170	478	2320
171	481	2317
172	482	2307
173	483	2297
174	485	2286
175	486	2276
176	487	2266
177	489	2258
178	493	2261
179	495	2256
180	497	2252
181	498	2239
182	499	2229
183	500	2219
184	501	2210
185	504	2205
186	507	2207
187	509	2198
188	510	2189
189	511	2180
190	512	2171
191	513	2162
192	514	2152
193	515	2143
194	517	2134
195	524	2150
196	525	2141
197	526	2132
198	527	2124
199	528	2115
200	529	2106
201	530	2097
202	532	2089
203	538	2101
204	543	2107
205	544	2100
206	546	2094
207	551	2101
208	553	2095
209	554	2087
210	556	2079
211	557	2071
212	558	2063
213	559	2054
214	560	2046
215	561	2038
216	566	2043
217	568	2037
218	569	2030
219	570	2022
220	571	2014
221	572	2006
222	573	1999
223	574	1991
224	576	1984
225	578	1982
226	581	1980
227	583	1974
228	584	1967
229	585	1959
230	586	1952
231	587	1944
232	588	1937
233	589	1930
234	590	1923
235	595	1927
236	596	1921
237	597	1914
238	599	1907
239	600	1900
240	601	1893
241	602	1887
242	603	1881
243	604	1874
244	608	1874
245	610	1872
246	611	1865
247	612	1858
248	614	1851
249	615	1845
250	616	1839
251	617	1833
252	618	1826
253	619	1820
254	623	1820
255	625	1817
256	626	1811
257	627	1804
258	628	1798
259	629	1792
260	631	1786
261	632	1780
262	633	1774
263	634	1770
264	638	1770
265	639	1764
266	640	1758
267	641	1753
268	643	1747
269	644	1741
270	645	1735
271	646	1730
272	647	1724
273	650	1723
274	653	1721
275	654	1715
276	655	1711
277	657	1706
278	658	1701
279	659	1695
280	660	1690
281	661	1684
282	663	1680
283	666	1680
284	667	1675
285	669	1671
286	671	1668
287	673	1664
288	675	1660
289	676	1655
290	677	1651
291	680	1650
292	682	1645
293	683	1640
294	684	1635
295	685	1630
296	686	1624
297	687	1619
298	688	1615
299	690	1610
300	691	1605
301	695	1606
302	696	1603
303	698	1598
304	699	1592
305	700	1587
306	701	1582
307	702	1577
308	703	1573
309	704	1568
310	706	1564
311	710	1567
312	712	1563
313	713	1558
314	714	1553
315	715	1548
316	716	1544
317	718	1540
318	719	1535
319	720	1531
320	724	1531
321	726	1529
322	727	1524
323	728	1519
324	729	1515
325	730	1510
326	732	1506
327	733	1502
328	734	1497
329	735	1493
330	741	1497
331	742	1493
332	743	1488
333	744	1484
334	745	1479
335	746	1475
336	747	1470
337	748	1466
338	749	1461
339	753	1462
340	755	1459
341	756	1456
342	758	1452
343	759	1448
344	760	1444
345	761	1439
346	762	1435
347	763	1431
348	765	1428
349	768	1427
350	770	1423
351	771	1419
352	771	1414
353	773	1411
354	774	1407
355	775	1403
356	776	1399
357	778	1395
358	779	1392
359	783	1392
360	784	1388
361	785	1384
362	786	1380
363	787	1376
364	788	1372
365	789	1368
366	791	1365
367	793	1362
368	798	1366
369	800	1362
370	801	1358
371	802	1355
372	804	1352
373	805	1348
374	806	1344
375	808	1340
376	811	1341
377	813	1337
378	814	1334
379	815	1330
380	816	1326
381	817	1323
382	819	1319
383	820	1316
384	821	1312
385	822	1308
386	827	1309
387	828	1306
388	829	1303
389	831	1299
390	832	1296
391	833	1292
392	834	1289
393	835	1285
394	836	1281
395	839	1280
396	842	1279
397	843	1275
398	844	1272
399	846	1269
400	847	1265
401	848	1262
402	849	1258
403	850	1254
404	851	1251
405	855	1250
406	857	1249
407	858	1245
408	859	1242
409	861	1239
410	862	1235
411	863	1231
412	864	1228
413	865	1224
414	866	1221
415	870	1222
416	871	1218
417	872	1215
418	874	1212
419	875	1209
420	876	1205
421	877	1202
422	878	1198
423	879	1195
424	881	1192
425	885	1192
426	887	1190
427	888	1187
428	889	1183
429	890	1180
430	891	1176
431	892	1173
432	893	1170
433	894	1167
434	896	1164
435	900	1164
436	901	1161
437	902	1158
438	904	1155
439	905	1151
440	906	1148
441	907	1145
442	908	1142
443	909	1138
444	913	1139
445	915	1137
446	917	1134
447	919	1132
448	920	1130
449	922	1127
450	923	1124
451	928	1125
452	929	1122
453	931	1119
454	932	1116
455	933	1113
456	934	1110
457	935	1107
458	936	1104
459	937	1100
460	942	1101
461	943	1099
462	945	1096
463	946	1093
464	947	1090
465	948	1087
466	949	1083
467	950	1080
468	951	1077
469	956	1078
470	958	1076
471	959	1073
472	960	1070
473	962	1067
474	963	1064
475	964	1061
476	965	1058
477	966	1055
478	970	1055
479	972	1053
480	973	1050
481	974	1047
482	976	1044
483	977	1041
484	978	1038
485	979	1035
486	980	1033
487	983	1032
488	986	1030
489	987	1027
490	988	1025
491	990	1022
492	991	1019
493	992	1016
494	993	1013
495	995	1011
496	996	1008
497	1000	1008
498	1001	1005
499	1002	1002
500	1004	1000
501	1005	997
