iter	Passed	Remaining
0	150	150262
1	151	75820
2	154	51268
3	155	38784
4	157	31324
5	158	26308
6	161	22853
7	162	20204
8	164	18115
9	167	16596
10	170	15322
11	171	14158
12	174	13225
13	176	12414
14	177	11674
15	179	11047
16	181	10472
17	182	9982
18	184	9547
19	186	9133
20	188	8767
21	190	8453
22	192	8166
23	193	7875
24	195	7622
25	197	7397
26	199	7183
27	202	7016
28	203	6827
29	205	6639
30	206	6464
31	208	6305
32	210	6166
33	212	6024
34	213	5886
35	214	5756
36	217	5660
37	219	5548
38	220	5437
39	222	5332
40	224	5250
41	226	5158
42	227	5066
43	229	4988
44	231	4903
45	232	4831
46	234	4757
47	236	4691
48	238	4621
49	239	4551
50	241	4493
51	243	4446
52	245	4390
53	247	4336
54	249	4293
55	251	4242
56	253	4190
57	254	4137
58	256	4096
59	258	4054
60	260	4004
61	261	3958
62	264	3932
63	265	3887
64	267	3843
65	269	3813
66	271	3782
67	273	3742
68	274	3703
69	276	3671
70	279	3652
71	280	3615
72	281	3580
73	283	3553
74	285	3518
75	286	3486
76	288	3454
77	290	3432
78	291	3403
79	293	3376
80	295	3349
81	297	3327
82	297	3292
83	299	3265
84	300	3239
85	302	3218
86	304	3194
87	306	3172
88	307	3151
89	309	3132
90	311	3108
91	312	3084
92	314	3062
93	316	3046
94	317	3024
95	318	3003
96	320	2982
97	322	2969
98	325	2961
99	329	2963
100	332	2955
101	333	2937
102	335	2923
103	337	2904
104	339	2893
105	341	2880
106	344	2875
107	346	2860
108	347	2844
109	349	2831
110	351	2813
111	353	2801
112	354	2786
113	358	2783
114	361	2778
115	362	2765
116	364	2747
117	365	2733
118	369	2732
119	372	2728
120	374	2721
121	377	2715
122	378	2700
123	380	2691
124	383	2682
125	388	2691
126	389	2676
127	398	2711
128	400	2705
129	404	2704
130	408	2706
131	410	2696
132	411	2682
133	414	2677
134	417	2672
135	419	2667
136	423	2665
137	424	2651
138	426	2639
139	428	2634
140	431	2630
141	435	2629
142	438	2625
143	439	2612
144	441	2604
145	444	2599
146	448	2602
147	449	2589
148	452	2583
149	454	2572
150	455	2562
151	457	2552
152	459	2544
153	463	2545
154	465	2536
155	467	2527
156	468	2517
157	470	2505
158	472	2497
159	474	2491
160	477	2487
161	480	2484
162	481	2473
163	483	2463
164	484	2453
165	487	2447
166	489	2441
167	493	2442
168	495	2438
169	497	2428
170	499	2422
171	502	2416
172	503	2408
173	506	2402
174	507	2392
175	509	2383
176	510	2373
177	512	2366
178	514	2357
179	516	2354
180	518	2346
181	521	2345
182	524	2340
183	526	2333
184	527	2324
185	529	2317
186	531	2311
187	533	2303
188	534	2294
189	536	2286
190	538	2279
191	539	2271
192	541	2264
193	542	2255
194	546	2254
195	548	2248
196	549	2239
197	550	2231
198	552	2223
199	553	2215
200	556	2210
201	557	2203
202	559	2196
203	560	2188
204	562	2180
205	563	2172
206	566	2169
207	567	2161
208	569	2156
209	572	2152
210	575	2151
211	578	2148
212	579	2142
213	582	2138
214	585	2135
215	587	2131
216	589	2128
217	593	2127
218	595	2123
219	597	2116
220	600	2115
221	601	2109
222	603	2103
223	606	2101
224	608	2096
225	611	2095
226	613	2090
227	615	2085
228	622	2096
229	624	2091
230	626	2087
231	628	2081
232	630	2075
233	633	2072
234	635	2069
235	637	2065
236	640	2061
237	642	2057
238	644	2052
239	647	2049
240	648	2043
241	651	2040
242	654	2037
243	656	2033
244	658	2028
245	660	2025
246	662	2020
247	665	2017
248	668	2017
249	670	2012
250	672	2006
251	674	2003
252	676	1998
253	679	1995
254	681	1991
255	683	1986
256	685	1981
257	688	1978
258	689	1973
259	691	1969
260	694	1966
261	696	1960
262	698	1956
263	700	1953
264	702	1949
265	705	1946
266	707	1943
267	709	1939
268	713	1938
269	715	1934
270	717	1930
271	720	1927
272	722	1925
273	724	1920
274	726	1915
275	729	1914
276	733	1913
277	736	1912
278	737	1907
279	740	1903
280	741	1898
281	745	1896
282	749	1897
283	751	1895
284	753	1890
285	755	1885
286	757	1882
287	759	1878
288	764	1881
289	768	1880
290	769	1875
291	771	1870
292	774	1868
293	777	1866
294	780	1865
295	783	1863
296	784	1857
297	786	1852
298	788	1849
299	790	1844
300	793	1843
301	796	1840
302	797	1835
303	799	1831
304	801	1826
305	803	1823
306	806	1820
307	809	1818
308	812	1816
309	814	1812
310	815	1807
311	817	1803
312	821	1803
313	824	1801
314	829	1803
315	830	1798
316	832	1794
317	836	1793
318	837	1788
319	840	1785
320	842	1781
321	846	1781
322	853	1788
323	854	1782
324	857	1780
325	859	1776
326	862	1775
327	865	1773
328	867	1769
329	868	1764
330	870	1759
331	872	1754
332	874	1751
333	882	1759
334	884	1756
335	886	1751
336	887	1746
337	891	1745
338	895	1746
339	897	1742
340	899	1738
341	906	1743
342	911	1746
343	914	1744
344	919	1745
345	921	1741
346	923	1736
347	924	1732
348	926	1728
349	928	1723
350	929	1719
351	932	1716
352	937	1717
353	940	1717
354	942	1712
355	944	1707
356	946	1703
357	948	1701
358	952	1700
359	954	1697
360	957	1694
361	959	1690
362	960	1685
363	962	1682
364	965	1679
365	968	1677
366	972	1676
367	973	1672
368	975	1667
369	977	1663
370	979	1661
371	983	1660
372	986	1657
373	987	1653
374	989	1648
375	991	1644
376	994	1643
377	997	1641
378	999	1637
379	1002	1635
380	1003	1630
381	1005	1626
382	1007	1622
383	1009	1619
384	1013	1618
385	1014	1613
386	1016	1609
387	1018	1606
388	1020	1603
389	1022	1599
390	1024	1595
391	1025	1591
392	1027	1586
393	1029	1582
394	1030	1579
395	1032	1575
396	1034	1571
397	1037	1570
398	1040	1566
399	1043	1565
400	1046	1562
401	1047	1558
402	1049	1554
403	1051	1551
404	1053	1547
405	1054	1543
406	1057	1540
407	1058	1536
408	1060	1532
409	1062	1528
410	1063	1524
411	1069	1526
412	1071	1522
413	1073	1519
414	1074	1515
415	1076	1510
416	1077	1506
417	1079	1502
418	1081	1499
419	1084	1497
420	1086	1493
421	1088	1490
422	1089	1486
423	1091	1482
424	1093	1479
425	1094	1474
426	1096	1471
427	1098	1468
428	1100	1464
429	1102	1460
430	1103	1457
431	1105	1453
432	1106	1449
433	1108	1445
434	1110	1442
435	1112	1438
436	1114	1435
